input,lon,lat,status
"Hf. Birkevang 32, 2700 Brønshøj",12.47138465,55.7139819,success
"Græsmarken 3, 5260 Odense S",10.39880176,55.36492617,success
"Hedevej 26, 4400 Kalundborg",11.12897143,55.66091841,success
"Astergade 17, 1. tv, 7500 Holstebro",,,not_found
"Strandlyst Alle 55, 2650 Hvidovre",12.47267388,55.61897955,success
"Egeholmsvej 17, 9670 Løgstør",9.26472576,56.85592108,success
"Astergade 37, 4660 Store Heddinge",,,not_found
"Ranunkelvej 3, 3250 Gilleleje",12.24966122,56.12022776,success
"Herningvej 206, 9220 Aalborg Ast",,,not_found
"Ãlandsgade 9, 1. th, 2300 København S",,,not_found
"Rosengårdsminde 39, 2670 Greve",12.26684447,55.59764585,success
"Capellavej 8, 8270 Højbjerg",10.18852233,56.12613071,success
"Grete Løchtes Gade 6, 6. tv, 8000 Aarhus C",10.22472002,56.16572574,success
"Sigurdsgade 13, 3700 Rønne",14.70456455,55.10485107,success
"Skovvej 9, 7182 Bredsten",9.38724379,55.6996331,success
"Havtoften 140, 7620 Lemvig",8.12269866,56.52756161,success
"Linde Alle 23, 8723 Løsning",9.76563868,55.81194144,success
"Forsingevej 10, 4490 Jerslev Sjælland",11.23767454,55.6461275,success
"Louisevej 2, 7900 Nykøbing M",8.87317213,56.8020071,success
"Helmklit 324, 6990 Ulfborg",8.15045023,56.32709132,success
"C.F. Møllers AllÃ© 56, 5. th, 2300 København S",,,not_found
"Vindingevej 4, 2. th, 4000 Roskilde",12.09499889,55.63985454,success
"Cikoriegade 44, 2. tv, 2640 Hedehusene",12.20961273,55.64365266,success
"Lemvigvej 16, 7500 Holstebro",8.60803986,56.36197153,success
"Sanglærkevej 21, 8960 Randers SA",,,not_found
"Bøgeskov Strand 47, 7000 Fredericia",9.75168448,55.62454589,success
"Strand AllÃ© 8, 5240 Odense NA",,,not_found
"Dejret Bygade 31, 8420 Knebel",10.4002699,56.19799205,success
"Amtsvejen 10, 3310 Alsted",,,not_found
"Bjørnøvænget 7, 5600 Faaborg",10.12993186,55.09289098,success
"Dalkildevej 7, 4780 Stege",12.40084069,54.98175351,success
"Søndergade 13, 9240 Nibe",9.6338145,56.98142213,success
"Gl Sorøvej 50, 4400 Kalundborg",11.18094807,55.63702442,success
