input,lon,lat,status,distance_to_nature_m
"Søvej 49B, 2791 Dragør",12.61916925,55.56781094,success,19998.746958961954
"Mølleparken 4, 7500 Holstebro",8.6163177,56.34741836,success,10478.621075075038
"Strandvænget 52, 8300 Odder",10.24664795,55.98209403,success,60645.41248039677
"Broengen 6, 3630 Jægerspris",11.94122793,55.81160937,success,21059.966662632956
"Hejmdalsvej 11, 8920 Randers NV",10.01406972,56.47387065,success,36852.58152007166
"Drewsensvej 70, st. 9, 8600 Silkeborg",9.54125983,56.16449552,success,44859.952951179665
"Nordsø Ferievej 64, 6950 Ringkøbing",8.11135015,56.06747704,success,26662.6346344352
"Skovbrynet 24, 4671 Strøby",12.3211518,55.39598413,success,26581.240191239045
"Kirkevænget 76, 8310 Tranbjerg J",10.1297336,56.08346679,success,71397.00185159044
"Vestergade 12, 6900 Skjern",8.641939,55.95938801,success,24440.860202669588
"A N Hansens Alle 23, 2900 Hellerup",12.57961577,55.7363418,success,3006.7445858365763
"Karsholtevej 44B, 4293 Dianalund",11.48157933,55.53298839,success,44064.21825331319
"Fægangsvej 33, 8585 Glesborg",10.71476178,56.5287796,success,64596.523276192194
"Fasanvej 62, 8800 Viborg",9.38054512,56.44811314,success,23375.76207164182
"Munkedammen 21A, 4320 Lejre",11.9700884,55.59302513,success,12527.074547114944
"Kokkesmøgen 3, 8420 Knebel",10.39981137,56.19845868,success,75056.4650951715
"Glentevej 3, 8500 Grenaa",10.87716736,56.40973458,success,80318.6363221403
"Skærsommervej 3, 8210 Aarhus V",10.1658878,56.17509684,success,67702.82413370324
"Christiansgade 17, 2. tv, 5000 Odense C",10.3995556,55.39693294,success,12022.270893494117
"Lyøvej 28, 4. tv, 2000 Frederiksberg",12.52592502,55.68204462,success,6519.3557510018345
"Nordre Strandvej 527, 3100 Hornbæk",12.42056172,56.09348081,success,11342.236288158194
"Skovløkkevej 1A, st, 6000 Kolding",9.46352347,55.4923504,success,28575.0283736391
"Bodalsvej 13, 8680 Ry",9.75938136,56.09144007,success,60444.35973545532
"Fåborggade 8, 1. th, 8000 Aarhus C",10.20339463,56.14371961,success,71900.28354968966
"Solhøjen 3, 8920 Randers NV",9.907173,56.48970203,success,30642.041977745983
"Skærvetoften 2, 8723 Løsning",9.70095539,55.81227784,success,48862.67188695783
"Veddevej 3C, 4190 Munke Bjergby",11.54658204,55.49972555,success,41111.875509431906
"Hedegårdsvej 7, 4000 Roskilde",12.09982088,55.64058732,success,4794.251869957935
"Fredensvej 7A, 3250 Gilleleje",12.26214105,56.12218995,success,1036.0296683495608
"Hjerting Strandvej 28C, 6710 Esbjerg V",8.35678574,55.52184904,success,36783.28855092259
"Haderslevvej 83, 1, 6000 Kolding",9.46848914,55.48089708,success,28050.783412397584
"Englandsvej 31, 4500 Nykøbing Sj",11.70748628,55.85796622,success,34839.17878021533
"Høevej 11, 6740 Bramming",8.72591155,55.47583576,success,29201.258123980067
"Odshøjvej 84, 8800 Viborg",9.45279863,56.46140838,success,24017.80625823355
"Hanevænget 8, 4400 Kalundborg",11.1150887,55.67082233,success,46486.45252949489
"Ceresbyen 33, 8000 Aarhus C",10.19122418,56.15656481,success,70294.89144101272
"Rypevej 18, 9575 Terndrup",10.06763051,56.81598859,success,15477.12604122621
"Skræntevej 14, 3210 Vejby",12.11537056,56.06446357,success,9704.794968772037
"Hjedsbækvej 265, 9541 Suldrup",9.70582923,56.85419881,success,6987.797068676448
"Henrik Steffens Vej 6, 3. th, 1866 Frederiksberg C",12.53838849,55.67792746,success,7422.26310368423
"Hyrdetasken 38, 8700 Horsens",9.86412793,55.824389,success,45475.326808221165
"Augustvej 7, 2860 Søborg",12.47124635,55.72905322,success,2180.8425114974402
"Himmelbjergvej 142, st, 8600 Silkeborg",9.72194668,56.12625419,success,56207.20782629017
"Sprogøvej 32, 5610 Assens",9.90516093,55.28225075,success,22051.005827996163
"Ceresbyen 46, 4. 1, 8000 Aarhus C",10.19253991,56.15649864,success,70347.77178836668
"Farumvej 101, 3660 Stenløse",12.28285736,55.80501854,success,9168.668415884924
"Alfred Hansens Have 26, 4300 Holbæk",11.73047976,55.71324935,success,27707.228369443852
"Esther Aggebos Gade 40, 3. mf, 8000 Aarhus C",10.22660189,56.16738026,success,70610.01650782213
"Korshøjen 90, 8240 Risskov",10.22121894,56.20172563,success,67384.22712240579
"Holmekrogen 73, 2830 Virum",12.4848407,55.79583385,success,777.6513399186751
"Martinsvej 16, 9000 Aalborg",9.95523043,57.02767855,success,5653.781609243875
"Hjarnøvej 14, 7000 Fredericia",9.78184569,55.58276494,success,26293.25596154543
"Strandtoften 5, 4671 Strøby",12.29255147,55.40178895,success,25347.842830150814
"Skovfyrvej 9, 3730 Nexø",15.06811416,55.00058296,success,180391.92869378297
"Lyndby Gade 27, 4070 Kirke Hyllinge",11.93256029,55.67150671,success,14594.293475076647
"Gludsmindevej 58, 7100 Vejle",9.52135496,55.68731806,success,46398.002882095236
"Jægervænget 5, 6800 Varde",8.46827189,55.63005309,success,26720.71400363943
"Agertoften 26, 9200 Aalborg SV",9.90207615,57.0174559,success,7206.997588419287
"Aage Berntsens Alle 45, 2750 Ballerup",12.37773459,55.73765037,success,1718.291474737176
"Svingelport 9, 1, 3000 Helsingør",12.60848457,56.03114802,success,24759.48866736623
"Engvej 15, 6320 Egernsund",9.62037333,54.90506677,success,14443.818905933744
"Tågelundvej 5, 6040 Egtved",9.24676446,55.62510171,success,33752.435731103964
"Granvænget 17, 8990 Fårup",9.84689038,56.54956062,success,23571.250155732516
"Elverhøjen 1E, 2. tv, 2730 Herlev",12.4479626,55.72129082,success,530.4575330580146
"Gondolvej 10, 4040 Jyllinge",12.10961792,55.74418872,success,8900.349123292659
"Kallerupvej 133, 4400 Kalundborg",11.04491285,55.71991059,success,47634.22171278361
"Slagelsevej 39, 4460 Snertinge",11.38518844,55.69609736,success,49100.981198359696
"Dronningens Tværgade 61, 1, 1302 København K",12.58285993,55.68469995,success,7363.8520349598375
"Nørrevej 25, 4960 Holeby",11.47716367,54.71038055,success,48729.600970181535
"Toftegårdsvej 37, 4550 Asnæs",11.50206403,55.8073135,success,44309.51302166556
"Eskholtvænget 11, 7100 Vejle",9.55058625,55.69300483,success,45312.62626939851
"Nestorvej 15, 9200 Aalborg SV",9.90761843,57.01619673,success,7153.036892630758
"Liljevej 3, 7600 Struer",8.58173239,56.49045927,success,10434.326061601832
"Tordenskjoldsgade 12B, 2. mf, 9900 Frederikshavn",10.53620468,57.4395841,success,52372.879112422845
"Fynsvej 41, 4000 Roskilde",12.09785874,55.66142926,success,4300.061746995471
"Fredensvej 12, 4220 Korsør",11.14870543,55.32403972,success,36094.165993351686
"Vinkelvej 14B, 4295 Stenlille",11.54601987,55.53089886,success,40159.39992030354
"Valmuevangen 14, 9240 Nibe",9.64142765,56.97701149,success,14377.450586517814
"Murskeen 7, 3. 108, 2630 Taastrup",12.2718162,55.65350571,success,4228.958366316278
"Anemonen 505, 2635 Ishøj",12.30405868,55.61992383,success,7871.099319292181
"Mårstien 6, 4500 Nykøbing Sj",11.46307664,55.95305538,success,47515.539889842126
"Gaaseager 89, 2600 Glostrup",12.42569911,55.68115068,success,4163.642666905573
"Engsøparken 27, 7200 Grindsted",8.89554683,55.76105721,success,38556.152927274874
"Lundemarken 70, 4400 Kalundborg",11.069757,55.68239718,success,45426.97770087984
"Guldsmedestien 73, st. mf, 2990 Nivå",12.50686526,55.93760869,success,14782.078531476416
"Sasserod 45, 5462 Morud",10.13150272,55.43780777,success,926.3715092090852
"Havklitvej 121, 6950 Ringkøbing",8.11149104,56.08849209,success,28778.398510332143
"Tyreengen 38, 3. tv, 4220 Korsør",11.16388393,55.32547896,success,37016.18484467292
"Grundtvigsvej 25, 4500 Nykøbing Sj",11.66815607,55.92430206,success,35141.501312539694
"Vigerslevvej 285B, 2. th, 2500 Valby",12.49232641,55.64884594,success,8224.630977349516
"Pæretræsdalen 21, 3700 Rønne",14.70818976,55.10472213,success,154651.70573800284
"Skovbo Alle 42, 2670 Greve",12.26104505,55.5997442,success,6151.514386326719
"A. Nielsens Vej 13, 9670 Løgstør",9.25695011,56.96469667,success,36587.139258619485
"Amager Strandvej 142D, 1. tv, 2300 København S",12.63452949,55.65844457,success,11507.18234560691
"Fuglsevej 21, 4960 Holeby",11.50831105,54.70907248,success,50674.28989754108
"Kålundsvej 18, 9000 Aalborg",9.96977762,57.04408986,success,3782.4546596501386
"Offenbachsvej 73, 7500 Holstebro",8.58308981,56.3774237,success,9427.864207100463
"Valdemarsvej 2, 2960 Rungsted Kyst",12.52111819,55.8860703,success,8979.627912588288
"Tyreengen 52, 3. th, 4220 Korsør",11.16517613,55.3256493,success,37093.92501534426
"Liengård 29, 9640 Farsø",9.21538573,56.68454554,success,19549.999395273662
"Tarrelyk 8, 6200 Aabenraa",9.41594464,55.02432332,success,7771.450490698122
"Lyngbyvej 345A, 1. tv, 2820 Gentofte",12.53408936,55.74165378,success,351.5385118685981
"Skoleparken 75, 7500 Holstebro",8.60802331,56.37238585,success,8616.451738532085
"Konemadevej 42, 4942 Askø",11.49214271,54.8972869,success,47158.00897815409
"Fægangsvej 7, 8585 Glesborg",10.70711843,56.52858868,success,64208.847772308625
"Røsnæsvej 237, 4400 Kalundborg",10.99561426,55.72846253,success,46606.842805675995
"Doktorstien 9, 9990 Skagen",10.52959077,57.72972015,success,79547.01688019227
"Tyttebærvej 21E, 8600 Silkeborg",9.61672033,56.13483201,success,50556.038098200625
"Barsmark Bygade 29, 6200 Aabenraa",9.48069187,55.09044819,success,15769.22403630218
"Marielyst Strandpark 51, 4873 Væggerløse",11.95397307,54.69796382,success,78668.89843915365
"Lyongade 24, 2. tv, 2300 København S",12.60932873,55.66033854,success,10530.80762408371
"Skadevænget 63, 4050 Skibby",11.85792405,55.74522743,success,20992.339374793806
"Valby Tingsted 10, st, 2500 Valby",12.51437935,55.66539067,success,7312.176828349499
"Møllevej 34, 9520 Skørping",9.89432629,56.83876406,success,4852.6566324449295
"Læssøegade 22, 8600 Silkeborg",9.54804193,56.1612602,success,45413.892935589145
"Krik Strandvej 120, 7770 Vestervig",8.25989411,56.77931407,success,24669.009006032786
"Stationsvej 33, 6230 Rødekro",9.33405835,55.1337451,success,20534.188973878245
"Grønhøjvej 42, 8462 Harlev J",10.00121044,56.1473921,success,65166.0443352199
"Jernbanegade 31B, 2. tv, 4690 Haslev",11.96375997,55.32747991,success,34685.47882800998
"Broholms Alle 13C, st. tv, 2920 Charlottenlund",12.58320687,55.76121296,success,3244.7060533994777
"Lergravsvej 54, st. th, 2300 København S",12.62611875,55.66365608,success,10732.260964162975
"Ceresbyen 40, 4. 1, 8000 Aarhus C",10.19186279,56.15646323,success,70326.88692143877
"Rådyrvænget 151, 5800 Nyborg",10.787277,55.34347605,success,13245.428462803628
"Lerbjergstien 6, 3460 Birkerød",12.365866,55.85216004,success,8832.7589792398
"Brovænget 8, 6800 Varde",8.48247754,55.6191253,success,28191.999100159162
"Kalleruphaven 85, 2640 Hedehusene",12.19709137,55.66074357,success,1453.281718897039
"Ranunkelvej 2, 7080 Børkop",9.70918692,55.63768744,success,33689.322057627745
"Torvet 6B, 1. tv, 4690 Haslev",11.96431817,55.32660357,success,34763.52915297322
"Dalumvej 4, 8270 Højbjerg",10.17115418,56.11866792,success,73118.12813534959
"Strandlund 12, 3250 Gilleleje",12.24151755,56.12075125,success,36.800267803749364
"Lodsgården 1A, st. 8, 2791 Dragør",12.65841958,55.59204968,success,18726.331758336284
"Lyngvejen 13, 3720 Aakirkeby",14.97084849,55.00525203,success,174766.95858670358
"Bogholdervej 1A, 6623 Vorbasse",9.10536749,55.68310009,success,39106.215148547184
"Valdemarsgade 49A, 1. th, 1665 København V",12.54925628,55.66847285,success,8554.785496224082
"Klarup Kirkevej 48, 9270 Klarup",10.0518303,57.01052448,success,9091.053165743786
"Carl Jacobsens Vej 14T, 4. th, 2500 Valby",12.51911268,55.65330153,success,8579.102171304192
"Orionvej 1, 9200 Aalborg SV",9.90386015,57.01850682,success,7346.129090623983
"Marienborg Alle 109, 2860 Søborg",12.50184116,55.73684312,success,1718.723810064728
"Hovedvejen 56, 3330 Gørløse",12.1903567,55.87597261,success,11434.208705011852
"Hans Tausens Vej 28, 9800 Hjørring",9.99604005,57.46830256,success,43108.511030533424
"Polarisvej 3, 3210 Vejby",12.13554911,56.07855817,success,7745.58809368716
"Under Elmene 16, 4. th, 2300 København S",12.59873157,55.66518903,success,9755.177661921247
"Engdalsvej 71A, st. tv, 8220 Brabrand",10.12011539,56.15060365,success,68422.91612239124
"Kastanievænget 1, 4681 Herfølge",12.14039773,55.41589686,success,22494.103419959614
"Kindhestegade 9, 1, 4700 Næstved",11.75648553,55.23150168,success,50127.96103228144
"Spånbjergvej 15, 4792 Askeby",12.19885144,54.91008752,success,78790.69973570926
"Storkevænget 54, 4050 Skibby",11.87097993,55.7436637,success,20170.84220835769
"Stagebjergparken 75, 6051 Almind",9.47946537,55.56030499,success,34484.837457390706
"Tjørnevej 10, 7500 Holstebro",8.6497321,56.34441045,success,9847.49576499273
"Tranbjerg Hovedgade 43, 8310 Tranbjerg J",10.13613689,56.09481061,success,72664.51059293986
"Constantiavej 6, 9900 Frederikshavn",10.52825356,57.44899584,success,52867.80383698893
"Hans Povlsensvej 9, 9240 Nibe",9.63607355,56.97448079,success,14652.582517689892
"Ã Strandvej 53, 5631 Ebberup",9.9735731,55.21773428,success,26353.344691762446
"Katholm 317, 3670 Veksø Sjælland",12.23273498,55.75497382,success,6395.023249844402
"Præstholmvej 2, 4070 Kirke Hyllinge",11.84372605,55.68866689,success,20280.71312105136
"Gelballevej 92, 6640 Lunderskov",9.37470222,55.47983375,success,23444.91756302887
"Burmeistersgade 7, 5. th, 1429 København K",12.59819061,55.67537491,success,8720.694676442947
"Tvedvej 164, 5700 Svendborg",10.62352692,55.08213616,success,26917.523056315706
"Godthåbsvej 26, 9230 Svenstrup J",9.8461117,56.97288283,success,2676.4170673680974
"Kværndrup Vænge 34, 5772 Kværndrup",10.56528512,55.16509341,success,23719.373378445765
"Egsmarkgårdvej 15, 8400 Ebeltoft",10.6505521,56.23335008,success,84088.85646232734
"Lysholmparken 39, 4320 Lejre",11.955216,55.56183826,success,14555.069862871436
"Bagsværd Hovedgade 116B, 4. a, 2880 Bagsværd",12.45586094,55.76082895,success,1433.0922661242312
"Skivevej 43, 7830 Vinderup",8.79728118,56.50430715,success,10207.223060706412
"Fagerbo 17, 2640 Hedehusene",12.19408274,55.65884019,success,1192.296638080748
"Mannehøj 82, 6600 Vejen",9.12431591,55.45822576,success,14102.08871298589
"Bøstrupvej 37, 4270 Høng",11.2592831,55.482523,success,44020.12038549972
"Krageholmsvej 15, 4736 Karrebæksminde",11.67087392,55.16568842,success,59219.55755801972
"Rishøjvej 48, 3200 Helsinge",12.18736694,55.99236649,success,2784.7492764019385
"Nørrebystrand 11, 5400 Bogense",10.24122799,55.60268453,success,19481.961052247218
"Nørregade 96, st, 5592 Ejby",9.93958335,55.43483029,success,11078.463664746876
"Alssundvej 2, 6400 Sønderborg",9.76649027,54.91376767,success,23181.609167290877
"Mølleparken 384, 7190 Billund",9.09729777,55.73055081,success,44394.14745667593
"Sandkrogen 32, 2800 Kongens Lyngby",12.47703106,55.76751339,success,807.720352940962
"Pilevej 3, 8660 Skanderborg",9.95209567,56.03989334,success,67360.52204286019
"Høgevej 192, 8560 Kolind",10.55426856,56.32981021,success,71961.01076944369
"Bellisvej 37, 6700 Esbjerg",8.47534774,55.46592144,success,42950.61153599217
"Niels Finsens Alle 88, 2860 Søborg",12.51342789,55.73703003,success,1531.8658300896097
