input,lon,lat,status,distance_to_nature_m,date,quarter,house_id,house_type,sales_type,year_build,purchase_price,%_change_between_offer_and_purchase,no_rooms,sqm,sqm_price,address,zip_code,city,area,region,nom_interest_rate%,dk_ann_infl_rate%,yield_on_mortgage_credit_bonds%,Efficiency_Era,full_address,city_median_sqm_price,Price_Deviation_%,Nature_Proximity
"Kromarken 16, 3480 Fredensborg",12.35124966,55.97782167,success,7994.77099892717,2023-03-21,2023Q1,115831,Summerhouse,regular_sale,1992,2760000,-15.0,3,107.0,25794.393,Kromarken 16,3480,Fredensborg,North Zealand,Zealand,1.75,3.31,4.79,D (Standard),"Kromarken 16, 3480 Fredensborg",19707.6396484375,30.88524571317744,Nearby (5-10km)
"Grundvej 3, 4591 Føllenslev",11.34859214,55.75612171,success,52159.69060377842,2023-05-02,2023Q2,105990,Summerhouse,regular_sale,1962,1351333,13.0,3,36.0,37537.027,Grundvej 3,4591,Føllenslev,Other islands,Zealand,2.6,3.31,4.79,E (Minimal),"Grundvej 3, 4591 Føllenslev",10142.0458984375,270.11297049575586,Distant (>10km)
"Enighedsvej 2, 1. tv, 2920 Charlottenlund",12.57075399,55.7518628,success,2281.110671514648,2023-05-22,2023Q2,101521,Apartment,regular_sale,1934,5895000,4.0,4,98.0,60153.062,"Enighedsvej 2, 1. tv",2920,Charlottenlund,"Capital, Copenhagen",Zealand,2.6,3.31,4.79,G/F (Pre-Insulation),"Enighedsvej 2, 1. tv, 2920 Charlottenlund",35919.5390625,67.46613144264927,Close (1-5km)
"Lille Havdrupvej 4, 4622 Havdrup",12.15645353,55.5475453,success,7801.118707118831,2024-04-21,2024Q2,18410,Farm,regular_sale,1972,6100000,-9.0,6,163.0,37423.312,Lille Havdrupvej 4,4622,Havdrup,Other islands,Zealand,3.6,1.13,4.34,E (Minimal),"Lille Havdrupvej 4, 4622 Havdrup",16157.89453125,131.6100803085566,Nearby (5-10km)
"Lyngvej 5, 3220 Tisvildeleje",12.10388822,56.04775118,success,10805.778766723424,2022-03-31,2022Q1,191322,Summerhouse,family_sale,1944,4300000,0.0,5,149.0,28859.06,Lyngvej 5,3220,Tisvildeleje,North Zealand,Zealand,0.0,7.7,3.73,G/F (Pre-Insulation),"Lyngvej 5, 3220 Tisvildeleje",19166.666015625,50.56901666334975,Distant (>10km)
"Nørholmvej 6, 7361 Ejstrupholm",9.30486077,55.98330898,success,48482.64485938373,2024-02-26,2024Q1,31721,Villa,regular_sale,1977,2745000,-4.0,7,244.0,11250.0,Nørholmvej 6,7361,Ejstrupholm,South jutland,Jutland,3.6,1.13,4.34,D (Standard),"Nørholmvej 6, 7361 Ejstrupholm",6856.303466796875,64.08258552849281,Distant (>10km)
"Følfodvej 8, 4840 Nørre Alslev",11.87122586,54.89117659,success,71367.22103292293,2023-05-25,2023Q2,100283,Villa,regular_sale,1980,900000,-16.0,3,124.0,7258.0645,Følfodvej 8,4840,Nørre Alslev,Other islands,Zealand,2.6,3.31,4.79,D (Standard),"Følfodvej 8, 4840 Nørre Alslev",5745.341796875,26.32955026405563,Distant (>10km)
"Seggelund Hovedvej 34, 6070 Christiansfeld",9.49006188,55.33484504,success,24019.291905563885,2024-05-27,2024Q2,9428,Villa,regular_sale,1800,1075000,-4.0,6,169.0,6360.947,Seggelund Hovedvej 34,6070,Christiansfeld,South jutland,Jutland,3.6,1.13,4.34,G/F (Pre-Insulation),"Seggelund Hovedvej 34, 6070 Christiansfeld",7386.82177734375,-13.887907829947638,Distant (>10km)
"Snehøjvej 10, 9500 Hobro",9.77307873,56.64255844,success,15016.171970198722,2024-05-27,2024Q2,9525,Villa,regular_sale,2017,3175000,-4.0,5,163.0,19478.527,Snehøjvej 10,9500,Hobro,North jutland,Jutland,3.6,1.13,4.34,B/A (High Efficiency),"Snehøjvej 10, 9500 Hobro",8045.7158203125,142.09812748511223,Distant (>10km)
"Stenløsevej 99, 5260 Odense S",10.38288774,55.35865418,success,13090.62860086505,2022-07-04,2022Q3,167192,Villa,regular_sale,1917,1630000,-7.0,4,118.0,13813.56,Stenløsevej 99,5260,Odense S,Fyn & islands,Fyn & islands,0.0,7.7,3.73,G/F (Pre-Insulation),"Stenløsevej 99, 5260 Odense S",12399.46435546875,11.404486309282118,Distant (>10km)
"Horsensvej 18, 2. mf, 3000 Helsingør",12.5933315,56.0216861,success,23622.293394938763,2024-06-25,2024Q2,1507566,Apartment,regular_sale,1965,1300000,-3.0,2,51.0,25490.195,"Horsensvej 18, 2. mf",3000,Helsingør,North Zealand,Zealand,3.6,1.13,4.34,E (Minimal),"Horsensvej 18, 2. mf, 3000 Helsingør",20600.0,23.73881219660194,Distant (>10km)
"Dalene 18, 5450 Otterup",10.32031378,55.56678674,success,18838.91486028276,2022-05-08,2022Q2,181472,Villa,regular_sale,1938,270000,-22.0,6,140.0,1928.5714,Dalene 18,5450,Otterup,Fyn & islands,Fyn & islands,0.0,7.7,3.73,G/F (Pre-Insulation),"Dalene 18, 5450 Otterup",8921.568359375,-78.38304507182056,Distant (>10km)
"Bremensgade 32, st. tv, 2300 København S",12.61695034,55.66469827,success,10332.358526459831,2023-09-18,2023Q3,73695,Apartment,regular_sale,1935,2600000,-2.0,2,89.0,29213.482,"Bremensgade 32, st. tv",2300,København S,"Capital, Copenhagen",Zealand,3.1,3.31,4.79,G/F (Pre-Insulation),"Bremensgade 32, st. tv, 2300 København S",35377.359375,-17.423225085252707,Distant (>10km)
"Jernvedvej 42, 6771 Gredstedbro",8.76189463,55.40724113,success,23680.76811865966,2024-04-25,2024Q2,17279,Villa,regular_sale,1997,1798000,0.0,5,153.0,11751.634,Jernvedvej 42,6771,Gredstedbro,South jutland,Jutland,3.6,1.13,4.34,C (Modern),"Jernvedvej 42, 6771 Gredstedbro",6377.55078125,84.26562472246093,Distant (>10km)
"Søndervænget 52, 7790 Thyholm",8.53051449,56.6458271,success,12377.52998813089,2023-01-10,2023Q1,130369,Villa,other_sale,1973,270000,0.0,5,176.0,1534.091,Søndervænget 52,7790,Thyholm,South jutland,Jutland,1.75,3.31,4.79,E (Minimal),"Søndervænget 52, 7790 Thyholm",5523.8095703125,-72.22766420790961,Distant (>10km)
"Bøgebakken 34, 8870 Langå",9.9489231,56.43756183,success,36521.41294622296,2023-02-16,2023Q1,123138,Villa,regular_sale,2004,2525000,-6.0,5,148.0,17060.81,Bøgebakken 34,8870,Langå,East & mid jutland,Jutland,1.75,3.31,4.79,C (Modern),"Bøgebakken 34, 8870 Langå",8478.2607421875,101.2300761402756,Distant (>10km)
"Katrinevej 54, 7800 Skive",9.00154782,56.5854727,success,16821.676690758,2024-08-07,2024Q3,359531,Villa,regular_sale,1972,565000,-5.0,4,110.0,5136.364,Katrinevej 54,7800,Skive,South jutland,Jutland,3.35,1.13,4.34,E (Minimal),"Katrinevej 54, 7800 Skive",8433.28564453125,-39.094156346263,Distant (>10km)
"Bakkevej 1A, 7840 Højslev",9.09860206,56.55271554,success,14459.632029303464,2024-05-13,2024Q2,12946,Villa,regular_sale,1965,670000,-4.0,4,100.0,6700.0,Bakkevej 1A,7840,Højslev,South jutland,Jutland,3.6,1.13,4.34,E (Minimal),"Bakkevej 1A, 7840 Højslev",7218.57421875,-7.183887053526735,Distant (>10km)
"Hummervej 10, 8400 Ebeltoft",10.65119315,56.23058186,success,84357.95347784412,2023-11-13,2023Q4,58788,Summerhouse,regular_sale,1971,2450000,-6.0,2,50.0,49000.0,Hummervej 10,8400,Ebeltoft,East & mid jutland,Jutland,3.6,3.31,4.79,E (Minimal),"Hummervej 10, 8400 Ebeltoft",12857.142578125,281.1111193817517,Distant (>10km)
"Torpet 84, 4300 Holbæk",11.6734584,55.70293661,success,31095.311668884653,2022-01-22,2022Q1,210494,Townhouse,regular_sale,2022,3301402,3.0,5,120.0,27511.684,Torpet 84,4300,Holbæk,Other islands,Zealand,0.0,7.7,3.73,B/A (High Efficiency),"Torpet 84, 4300 Holbæk",15167.60302734375,81.38451767331114,Distant (>10km)
"Hf. Brønshøjholm 42, 2700 Brønshøj",12.5022326,55.70891792,success,3829.321623331786,2024-06-11,2024Q2,5652,Summerhouse,regular_sale,1966,1575000,-6.0,2,30.0,52500.0,Hf. Brønshøjholm 42,2700,Brønshøj,"Capital, Copenhagen",Zealand,3.6,1.13,4.34,E (Minimal),"Hf. Brønshøjholm 42, 2700 Brønshøj",26923.076171875,95.00000544084837,Close (1-5km)
"Borgergade 21, 1. tv, 6700 Esbjerg",8.45518746,55.46512802,success,44011.7249754322,2023-06-18,2023Q2,94585,Apartment,regular_sale,2018,3600000,0.0,3,116.0,31034.482,"Borgergade 21, 1. tv",6700,Esbjerg,South jutland,Jutland,2.6,3.31,4.79,B/A (High Efficiency),"Borgergade 21, 1. tv, 6700 Esbjerg",15277.77734375,103.1347998049659,Distant (>10km)
"Kenny Drews Vej 27, 3. th, 2450 København SV",12.54953012,55.64633692,success,10354.58107322141,2024-05-23,2024Q2,10442,Apartment,regular_sale,2008,5000000,-3.0,3,91.0,54945.055,"Kenny Drews Vej 27, 3. th",2450,København SV,"Capital, Copenhagen",Zealand,3.6,1.13,4.34,C (Modern),"Kenny Drews Vej 27, 3. th, 2450 København SV",39639.640625,38.61138451605223,Distant (>10km)
"Frimestervej 2, 1. th, 2400 København NV",12.53707625,55.70653701,success,4266.447879098307,2024-06-03,2024Q2,7729,Apartment,regular_sale,1937,3500000,-3.0,3,68.0,51470.59,"Frimestervej 2, 1. th",2400,København NV,"Capital, Copenhagen",Zealand,3.6,1.13,4.34,G/F (Pre-Insulation),"Frimestervej 2, 1. th, 2400 København NV",31250.0,64.7058875,Close (1-5km)
"Rørvigvej 108, 4500 Nykøbing Sj",11.68021911,55.93541227,success,34204.53683929416,2022-08-18,2022Q3,158374,Villa,regular_sale,1951,1440000,-4.0,4,114.0,12631.579,Rørvigvej 108,4500,Nykøbing Sj,Other islands,Zealand,0.0,7.7,3.73,G/F (Pre-Insulation),"Rørvigvej 108, 4500 Nykøbing Sj",11785.7138671875,7.177038607139155,Distant (>10km)
"Munkeparken 91, 6240 Løgumkloster",8.93981655,55.05060164,success,31952.25953883427,2023-06-08,2023Q2,97119,Villa,regular_sale,1980,1025000,-6.0,3,131.0,7824.4272,Munkeparken 91,6240,Løgumkloster,South jutland,Jutland,2.6,3.31,4.79,D (Standard),"Munkeparken 91, 6240 Løgumkloster",5163.04345703125,51.54680202116284,Distant (>10km)
"Strandengen 9, 3630 Jægerspris",11.95170638,55.92912794,success,17753.29357608942,2022-11-28,2022Q4,137220,Summerhouse,regular_sale,1966,760000,0.0,1,44.0,17272.727,Strandengen 9,3630,Jægerspris,North Zealand,Zealand,0.65,7.7,3.73,E (Minimal),"Strandengen 9, 3630 Jægerspris",11855.669921875,45.691695841075514,Distant (>10km)
"Højvangen 15, 8700 Horsens",9.85998075,55.83888573,success,47077.41013102266,2023-03-16,2023Q1,116610,Villa,regular_sale,1972,2450000,-2.0,6,166.0,14759.036,Højvangen 15,8700,Horsens,East & mid jutland,Jutland,1.75,3.31,4.79,E (Minimal),"Højvangen 15, 8700 Horsens",12550.3359375,17.598733661885298,Distant (>10km)
"Husmandsvej 4, 2630 Taastrup",12.29074872,55.63937444,success,5936.660474831584,2022-11-27,2022Q4,137432,Villa,regular_sale,1939,2625000,0.0,4,86.0,30523.256,Husmandsvej 4,2630,Taastrup,"Capital, Copenhagen",Zealand,0.65,7.7,3.73,G/F (Pre-Insulation),"Husmandsvej 4, 2630 Taastrup",19736.841796875,54.651165437257795,Nearby (5-10km)
"Johan Kellers Vej 42, 1. tv, 2450 København SV",12.53577148,55.65517904,success,9043.33823669838,2023-11-12,2023Q4,59118,Apartment,regular_sale,1936,2495000,0.0,2,59.0,42288.137,"Johan Kellers Vej 42, 1. tv",2450,København SV,"Capital, Copenhagen",Zealand,3.6,3.31,4.79,G/F (Pre-Insulation),"Johan Kellers Vej 42, 1. tv, 2450 København SV",39639.640625,6.681433161328012,Nearby (5-10km)
"Skolesvinget 45, 8240 Risskov",10.22547839,56.19688528,success,67970.15772385032,2024-08-06,2024Q3,359643,Villa,regular_sale,1961,4220000,2.0,5,159.0,26540.88,Skolesvinget 45,8240,Risskov,East & mid jutland,Jutland,3.35,1.13,4.34,E (Minimal),"Skolesvinget 45, 8240 Risskov",23302.46875,13.897291931246555,Distant (>10km)
"Maj Alle 22, 2860 Søborg",12.46678155,55.72732794,success,1853.21887499784,2024-05-20,2024Q2,11351,Townhouse,regular_sale,1948,3600000,-3.0,4,81.0,44444.445,Maj Alle 22,2860,Søborg,"Capital, Copenhagen",Zealand,3.6,1.13,4.34,G/F (Pre-Insulation),"Maj Alle 22, 2860 Søborg",25953.947265625,71.24349085568556,Close (1-5km)
"Hummervej 1, 7700 Thisted",8.38103917,56.95438631,success,22059.08994114818,2023-09-03,2023Q3,77823,Summerhouse,regular_sale,1971,1400000,0.0,4,82.0,17073.17,Hummervej 1,7700,Thisted,South jutland,Jutland,3.1,3.31,4.79,E (Minimal),"Hummervej 1, 7700 Thisted",8445.9462890625,102.1463236628056,Distant (>10km)
"Bygaden 18C, 4490 Jerslev Sjælland",11.24040424,55.61070611,success,48616.26821150058,2023-01-25,2023Q1,127885,Apartment,regular_sale,1877,3600000,0.0,3,80.0,45000.0,Bygaden 18C,4490,Jerslev Sjælland,Other islands,Zealand,1.75,3.31,4.79,G/F (Pre-Insulation),"Bygaden 18C, 4490 Jerslev Sjælland",7666.66650390625,486.95653419999434,Distant (>10km)
"Cumberlandsgade 8, 2. tv, 2300 København S",12.61548575,55.66741675,success,10024.652135838927,2023-08-06,2023Q3,80516,Apartment,regular_sale,1914,2395000,0.0,2,54.0,44351.85,"Cumberlandsgade 8, 2. tv",2300,København S,"Capital, Copenhagen",Zealand,3.1,3.31,4.79,G/F (Pre-Insulation),"Cumberlandsgade 8, 2. tv, 2300 København S",35377.359375,25.367897282469237,Distant (>10km)
"Teglværksvej 20, 8420 Knebel",10.36239329,56.19432825,success,73766.3660347227,2023-07-12,2023Q3,85421,Summerhouse,regular_sale,1974,1670000,-1.0,3,73.0,22876.713,Teglværksvej 20,8420,Knebel,East & mid jutland,Jutland,3.1,3.31,4.79,E (Minimal),"Teglværksvej 20, 8420 Knebel",11918.6044921875,91.94120339860599,Distant (>10km)
"Degnevænget 1, 5270 Odense N",10.33917785,55.42864446,success,14022.460332333769,2024-04-03,2024Q2,23050,Villa,regular_sale,1967,1800000,-3.0,4,110.0,16363.637,Degnevænget 1,5270,Odense N,Fyn & islands,Fyn & islands,3.6,1.13,4.34,E (Minimal),"Degnevænget 1, 5270 Odense N",11016.94921875,48.53147086219068,Distant (>10km)
"Højvangen 24, 9800 Hjørring",9.98889583,57.46602885,success,42844.064822501154,2022-09-29,2022Q3,149541,Villa,regular_sale,1962,1200000,-14.0,4,113.0,10619.469,Højvangen 24,9800,Hjørring,North jutland,Jutland,0.0,7.7,3.73,E (Minimal),"Højvangen 24, 9800 Hjørring",9471.154296875,12.124334765656657,Distant (>10km)
"Grønbækvej 59, 8600 Silkeborg",9.62104517,56.24674551,success,43566.309520559465,2023-07-20,2023Q3,83621,Villa,regular_sale,1902,1600000,0.0,3,104.0,15384.615,Grønbækvej 59,8600,Silkeborg,East & mid jutland,Jutland,3.1,3.31,4.79,G/F (Pre-Insulation),"Grønbækvej 59, 8600 Silkeborg",14794.48193359375,3.9888743886410616,Distant (>10km)
"Elstarvej 19, 1. mf, 2500 Valby",12.50334912,55.65616657,success,7788.358697858385,2024-07-24,2024Q3,709204,Apartment,regular_sale,2020,5250000,0.0,3,106.0,49528.3,"Elstarvej 19, 1. mf",2500,Valby,"Capital, Copenhagen",Zealand,3.35,1.13,4.34,B/A (High Efficiency),"Elstarvej 19, 1. mf, 2500 Valby",32500.0,52.39477163461539,Nearby (5-10km)
"Assensvej 77, 5771 Stenstrup",10.52347206,55.11665899,success,29350.26907963105,2022-02-13,2022Q1,204353,Villa,regular_sale,1900,750000,-6.0,4,144.0,5208.3335,Assensvej 77,5771,Stenstrup,Fyn & islands,Fyn & islands,0.0,7.7,3.73,G/F (Pre-Insulation),"Assensvej 77, 5771 Stenstrup",7175.02294921875,-27.410218295387367,Distant (>10km)
"Ellebæk Parkvej 27, 8520 Lystrup",10.22040841,56.23342066,success,64634.537246115855,2022-11-30,2022Q4,136812,Townhouse,regular_sale,2003,3350000,0.0,4,101.0,33168.316,Ellebæk Parkvej 27,8520,Lystrup,East & mid jutland,Jutland,0.65,7.7,3.73,C (Modern),"Ellebæk Parkvej 27, 8520 Lystrup",17229.73046875,92.50629872828375,Distant (>10km)
"Gasværksgade 25, 6700 Esbjerg",8.46161197,55.46377695,success,43687.292963486245,2022-01-10,2022Q1,213888,Villa,regular_sale,1898,1850000,-5.0,6,218.0,8486.238,Gasværksgade 25,6700,Esbjerg,South jutland,Jutland,0.0,7.7,3.73,G/F (Pre-Insulation),"Gasværksgade 25, 6700 Esbjerg",15277.77734375,-44.453711490162256,Distant (>10km)
"Lindevænget 7, 4873 Væggerløse",11.96083607,54.68294643,success,79496.3056472306,2022-07-28,2022Q3,162499,Summerhouse,regular_sale,2007,3300000,-6.0,3,139.0,23741.008,Lindevænget 7,4873,Væggerløse,Other islands,Zealand,0.0,7.7,3.73,C (Modern),"Lindevænget 7, 4873 Væggerløse",11397.78857421875,108.29486051531978,Distant (>10km)
"Lundevej 36, 2. 2, 4400 Kalundborg",11.07340503,55.68211999,success,45558.78053072892,2024-04-22,2024Q2,18311,Apartment,regular_sale,1957,1750000,0.0,4,103.0,16990.291,"Lundevej 36, 2. 2",4400,Kalundborg,Other islands,Zealand,3.6,1.13,4.34,G/F (Pre-Insulation),"Lundevej 36, 2. 2, 4400 Kalundborg",9974.5908203125,70.33571924600213,Distant (>10km)
"Skodborghusvej 15, 6600 Vejen",9.13698403,55.44375559,success,12573.040753413536,2024-07-24,2024Q3,709221,Villa,regular_sale,1856,350000,-20.0,3,100.0,3500.0,Skodborghusvej 15,6600,Vejen,South jutland,Jutland,3.35,1.13,4.34,G/F (Pre-Insulation),"Skodborghusvej 15, 6600 Vejen",8537.16064453125,-59.00276279512162,Distant (>10km)
"Borgergade 19, 2, 8700 Horsens",9.85498624,55.8615064,success,49550.118619684334,2024-01-28,2024Q1,38251,Apartment,regular_sale,1923,2050000,-7.0,4,139.0,14748.201,"Borgergade 19, 2",8700,Horsens,East & mid jutland,Jutland,3.6,1.13,4.34,G/F (Pre-Insulation),"Borgergade 19, 2, 8700 Horsens",12550.3359375,17.512401622715526,Distant (>10km)
"Ejlesøvej 15, 4000 Roskilde",12.14634079,55.73829814,success,7632.257213261072,2023-09-27,2023Q3,71073,Townhouse,regular_sale,1980,2995000,0.0,4,118.0,25381.355,Ejlesøvej 15,4000,Roskilde,Other islands,Zealand,3.1,3.31,4.79,D (Standard),"Ejlesøvej 15, 4000 Roskilde",21404.109375,18.58169393581694,Nearby (5-10km)
"Bygaden 76, 4983 Dannemare",11.19861396,54.76027017,success,29969.221967640005,2022-09-11,2022Q3,153365,Villa,regular_sale,1930,355000,1.0,3,93.0,3817.2043,Bygaden 76,4983,Dannemare,Other islands,Zealand,0.0,7.7,3.73,G/F (Pre-Insulation),"Bygaden 76, 4983 Dannemare",7245.283203125,-47.31462886010161,Distant (>10km)
"Tingodden 119, 6960 Hvide Sande",8.1418011,55.95801061,success,15323.952294355147,2022-01-13,2022Q1,212877,Summerhouse,family_sale,1958,807500,0.0,2,40.0,20187.5,Tingodden 119,6960,Hvide Sande,South jutland,Jutland,0.0,7.7,3.73,G/F (Pre-Insulation),"Tingodden 119, 6960 Hvide Sande",12208.3330078125,65.35836618383016,Distant (>10km)
"Degneløkken 57, 5540 Ullerslev",10.64998499,55.35866777,success,4512.209347056311,2024-01-30,2024Q1,37764,Villa,regular_sale,1977,2300000,-5.0,4,148.0,15540.541,Degneløkken 57,5540,Ullerslev,Fyn & islands,Fyn & islands,3.6,1.13,4.34,D (Standard),"Degneløkken 57, 5540 Ullerslev",7179.85595703125,116.44641770850725,Close (1-5km)
"Gråspurvevej 63, st, 2400 København NV",12.52378778,55.70313246,success,4684.40396717872,2024-02-16,2024Q1,34069,Apartment,regular_sale,2007,3500000,-5.0,3,78.0,44871.793,"Gråspurvevej 63, st",2400,København NV,"Capital, Copenhagen",Zealand,3.6,1.13,4.34,C (Modern),"Gråspurvevej 63, st, 2400 København NV",31250.0,43.5897375,Close (1-5km)
"Nældebjerg Alle 41, 2670 Greve",12.27825304,55.58314651,success,7996.205791978123,2024-08-19,2024Q3,147392,Villa,regular_sale,1966,3400000,0.0,4,106.0,32075.473,Nældebjerg Alle 41,2670,Greve,"Capital, Copenhagen",Zealand,3.35,1.13,4.34,E (Minimal),"Nældebjerg Alle 41, 2670 Greve",19161.8212890625,67.39260935785141,Nearby (5-10km)
"Slusevej 105, 2300 København S",12.58527678,55.62873685,success,13312.81629901762,2022-07-14,2022Q3,164637,Villa,family_sale,1997,1039982,0.0,3,60.0,17333.033,Slusevej 105,2300,København S,"Capital, Copenhagen",Zealand,0.0,7.7,3.73,C (Modern),"Slusevej 105, 2300 København S",35377.359375,-51.005294037367655,Distant (>10km)
"Kvarmløsevej 5, st, 4340 Tølløse",11.77203994,55.61324384,success,24707.66624379837,2023-03-30,2023Q1,113302,Apartment,regular_sale,1870,1810000,-8.0,6,145.0,12482.759,"Kvarmløsevej 5, st",4340,Tølløse,Other islands,Zealand,1.75,3.31,4.79,G/F (Pre-Insulation),"Kvarmløsevej 5, st, 4340 Tølløse",10964.912109375,13.842761935043155,Distant (>10km)
"Rasmus Rasks Vej 16, 2. tv, 2500 Valby",12.51741294,55.66264297,success,7671.088962118895,2022-11-17,2022Q4,138846,Apartment,regular_sale,1932,3250000,-8.0,2,73.0,44520.547,"Rasmus Rasks Vej 16, 2. tv",2500,Valby,"Capital, Copenhagen",Zealand,0.65,7.7,3.73,G/F (Pre-Insulation),"Rasmus Rasks Vej 16, 2. tv, 2500 Valby",32500.0,36.98629807692308,Nearby (5-10km)
"Thorsensvej 5, 6740 Bramming",8.70244916,55.46223991,success,29687.54505277404,2024-04-18,2024Q2,19137,Villa,regular_sale,1917,1900000,-17.0,6,132.0,14393.939,Thorsensvej 5,6740,Bramming,South jutland,Jutland,3.6,1.13,4.34,G/F (Pre-Insulation),"Thorsensvej 5, 6740 Bramming",8475.2568359375,69.83484668087699,Distant (>10km)
"Spurvevej 12, 4690 Haslev",12.05510951,55.31646111,success,34217.33447791643,2023-06-19,2023Q2,93969,Townhouse,regular_sale,2002,1995000,0.0,3,111.0,17972.973,Spurvevej 12,4690,Haslev,Other islands,Zealand,2.6,3.31,4.79,C (Modern),"Spurvevej 12, 4690 Haslev",11011.34375,63.22233747584167,Distant (>10km)
"Svanemosevej 10, 9490 Pandrup",9.63545777,57.19143,success,23718.73341186809,2023-11-03,2023Q4,61355,Villa,regular_sale,1963,380000,-13.0,4,156.0,2435.8975,Svanemosevej 10,9490,Pandrup,North jutland,Jutland,3.6,3.31,4.79,E (Minimal),"Svanemosevej 10, 9490 Pandrup",7329.7119140625,-66.76680489632776,Distant (>10km)
"Bækken 23, 3700 Rønne",14.70159181,55.09553345,success,154813.56905336207,2022-10-09,2022Q4,145688,Townhouse,regular_sale,1883,1050000,-4.0,4,84.0,12500.0,Bækken 23,3700,Rønne,Bornholm,Bornholm,0.65,7.7,3.73,G/F (Pre-Insulation),"Bækken 23, 3700 Rønne",8424.00927734375,48.385401635520125,
